mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-1183115,AcAlO3,5,Ac1 Al1 O3,3.8586338700000002,3.8586338700000002,3.8586338700000002,90.0,90.0,90.0,cubic,Pm-3m,0.0,-8.232146191999997,-3.690019421499996,0.0,True,8.728230081866649,4.1024,True,57.4514132376898,,
mp-1183052,AcBO3,5,Ac1 B1 O3,3.721668,3.721668,3.721668,90.0,90.0,90.0,cubic,Pm-3m,0.0001327,-7.604279514,-2.475389555333333,0.7924727446666661,False,9.206878605801688,0.8071,False,51.54812640786059,,
mp-866101,AcCrO3,5,Ac1 Cr1 O3,3.9442869,3.94430226,3.9442715,90.0,90.0,90.0,cubic,Pm-3m,2.9999997,-8.862593228,-3.1389721295,0.0,True,8.848788046728616,2.0031,False,61.36284504026082,,
mp-864606,AcCuO3,5,Ac1 Cu1 O3,3.91333125,3.91333125,3.91333125,90.0,90.0,90.0,cubic,Pm-3m,1.6e-06,-7.035745362,-2.4228924235,0.0,True,9.380470938074593,0.0,False,59.92938665681022,"{'voigt': 163.571, 'reuss': 163.571, 'vrh': 163.571}","{'voigt': 81.813, 'reuss': 81.632, 'vrh': 81.723}"
mp-861502,AcFeO3,5,Ac1 Fe1 O3,3.95356962,3.953567500001287,3.953584510001286,90.00009245985731,90.0,90.0,cubic,Pm-3m,4.2542759,-8.258555312000002,-2.771539465500001,0.0,True,8.889999465919495,0.9887999999999991,False,61.79731063258672,,
mp-1183053,AcGaO3,5,Ac1 Ga1 O3,3.9462620900000003,3.9462620900000003,3.9462620900000003,90.0,90.0,90.0,cubic,Pm-3m,0.0,-7.461883426,-3.063252617,0.0,True,9.31449500321555,2.895900000000001,False,61.455078293307366,,
mp-1183142,AcMgO3,5,Ac1 Mg1 O3,4.016262,4.016262,4.016262,90.0,90.0,90.0,cubic,Pm-3m,1.0000029,-7.120950934,-3.0018453265,0.082312486499999,False,7.671748358584634,0.0,False,64.78375373225691,,
mp-864911,AcMnO3,5,Ac1 Mn1 O3,3.963021679999999,3.963021679999999,3.963021679999999,90.0,90.0,90.0,cubic,Pm-3m,3.9999934,-8.599044686,-2.973630023086206,0.0,True,8.802373253340264,0.0,False,62.241398829787876,,
mp-1183139,AcNiO3,5,Ac1 Ni1 O3,3.87883955,3.87883649,3.87881202,90.0,90.0,90.0,cubic,Pm-3m,2.6e-06,-7.404515515999998,-2.455476575499998,0.0,True,9.494942767086057,0.0,False,58.35821779959113,,
mp-1183145,AcPdO3,5,Ac1 Pd1 O3,4.05520794,4.05520691,4.05520589,90.0,90.0,90.0,cubic,Pm-3m,1.8900000000000002e-05,-7.065943371999998,-2.236955405499998,0.008102040999999,False,9.497547055496376,0.0,False,66.68667373916479,,
